#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAH8712328.1         -           1149 5317at5125           -            773         0 1207.5   5.2   1   4  1.8e-125  6.7e-122  407.3   0.1     1   282     9   371     9   377 0.83 hypothetical protein HC256_005526 [Beauveria bassiana]
KAH8712328.1         -           1149 5317at5125           -            773         0 1207.5   5.2   2   4   5.6e-37   2.1e-33  114.7   0.0   279   387   389   537   380   549 0.83 hypothetical protein HC256_005526 [Beauveria bassiana]
KAH8712328.1         -           1149 5317at5125           -            773         0 1207.5   5.2   3   4   3.1e-96   1.2e-92  310.6   0.1   385   579   598   810   593   812 0.87 hypothetical protein HC256_005526 [Beauveria bassiana]
KAH8712328.1         -           1149 5317at5125           -            773         0 1207.5   5.2   4   4  3.3e-115  1.2e-111  373.4   0.6   542   773   803  1065   791  1065 0.86 hypothetical protein HC256_005526 [Beauveria bassiana]
KAH8709065.1         -            534 5317at5125           -            773     0.023   12.0   0.0   1   3   0.00048       1.8    5.8   0.0   228   281   287   344   250   357 0.85 hypothetical protein HC256_008991 [Beauveria bassiana]
KAH8709065.1         -            534 5317at5125           -            773     0.023   12.0   0.0   2   3    0.0026       9.6    3.4   0.0   297   327   394   426   389   435 0.79 hypothetical protein HC256_008991 [Beauveria bassiana]
KAH8709065.1         -            534 5317at5125           -            773     0.023   12.0   0.0   3   3       0.2   7.4e+02   -2.9   0.0   333   355   474   496   468   524 0.79 hypothetical protein HC256_008991 [Beauveria bassiana]
KAH8718973.1         -           1533 5317at5125           -            773     0.085   10.1   0.0   1   1   3.4e-05      0.13    9.5   0.0   205   292    70   156    57   164 0.78 Serine/threonine-protein kinase VPS15 [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/5317at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_JEF-350/run_hypocreales_odb10/hmmer_output/initial_run_results/5317at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/5317at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:25:36 2024
# [ok]
