#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAH8719026.1         -           1777 522at5125            -           1440         0 2680.5  25.1   1   5         0         0 1092.8   0.0     1   591     1   644     1   662 0.94 Chitin synthase 6 [Beauveria bassiana]
KAH8719026.1         -           1777 522at5125            -           1440         0 2680.5  25.1   2   5   1.8e-62     2e-59  200.4   1.3   576   738   661   880   653   913 0.83 Chitin synthase 6 [Beauveria bassiana]
KAH8719026.1         -           1777 522at5125            -           1440         0 2680.5  25.1   3   5         0         0 1307.1   4.8   743  1362   944  1623   884  1642 0.93 Chitin synthase 6 [Beauveria bassiana]
KAH8719026.1         -           1777 522at5125            -           1440         0 2680.5  25.1   4   5      0.27   3.1e+02   -2.3   0.0  1351  1378  1643  1669  1630  1677 0.76 Chitin synthase 6 [Beauveria bassiana]
KAH8719026.1         -           1777 522at5125            -           1440         0 2680.5  25.1   5   5   2.2e-29   2.5e-26   90.8   0.6  1384  1440  1721  1777  1679  1777 0.84 Chitin synthase 6 [Beauveria bassiana]
KAH8719025.1         -           1860 522at5125            -           1440  2.7e-270  899.2  11.5   1   5     1e-06    0.0012   15.7   0.1    36   257    47   285    17   301 0.69 Chitin synthase 8 [Beauveria bassiana]
KAH8719025.1         -           1860 522at5125            -           1440  2.7e-270  899.2  11.5   2   5      0.16   1.8e+02   -1.5   0.0   266   333   343   410   304   445 0.69 Chitin synthase 8 [Beauveria bassiana]
KAH8719025.1         -           1860 522at5125            -           1440  2.7e-270  899.2  11.5   3   5    0.0042       4.7    3.7   0.0   473   558   687   773   677   794 0.81 Chitin synthase 8 [Beauveria bassiana]
KAH8719025.1         -           1860 522at5125            -           1440  2.7e-270  899.2  11.5   4   5   3.3e-20   3.7e-17   60.4   0.1   613   685   870   945   811   956 0.81 Chitin synthase 8 [Beauveria bassiana]
KAH8719025.1         -           1860 522at5125            -           1440  2.7e-270  899.2  11.5   5   5    2e-250  2.2e-247  823.3   0.7   755  1426  1151  1846  1121  1853 0.87 Chitin synthase 8 [Beauveria bassiana]
KAH8707929.1         -           1211 522at5125            -           1440  1.5e-158  529.0   0.5   1   2   5.3e-08   5.9e-05   19.9   0.0   603   682   171   258   123   263 0.75 Chitin synthase 4 [Beauveria bassiana]
