#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAH8718287.1         -            753 10453at5125          -            583         0 1102.2  11.8   1   4   0.00089       2.5    5.9   0.1    10    40    72   101    64   114 0.71 tRNA-dihydrouridine(47) synthase [NAD(P)(+)] [Beauveria bassiana]
KAH8718287.1         -            753 10453at5125          -            583         0 1102.2  11.8   2   4   5.1e-55   1.4e-51  175.1   4.6    26   128   118   228   109   233 0.91 tRNA-dihydrouridine(47) synthase [NAD(P)(+)] [Beauveria bassiana]
KAH8718287.1         -            753 10453at5125          -            583         0 1102.2  11.8   3   4   9.3e-11   2.6e-07   28.9   0.4   117   164   251   303   245   315 0.81 tRNA-dihydrouridine(47) synthase [NAD(P)(+)] [Beauveria bassiana]
KAH8718287.1         -            753 10453at5125          -            583         0 1102.2  11.8   4   4  8.7e-273  2.4e-269  894.2   0.0   156   583   321   753   304   753 0.98 tRNA-dihydrouridine(47) synthase [NAD(P)(+)] [Beauveria bassiana]
KAH8716111.1         -            578 10453at5125          -            583   3.7e-07   28.4   0.0   1   2   7.6e-10   2.1e-06   25.9   0.0   184   385    71   269    44   273 0.73 tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)] [Beauveria bassiana]
KAH8716111.1         -            578 10453at5125          -            583   3.7e-07   28.4   0.0   2   2      0.19   5.4e+02   -1.8   0.0   425   462   284   321   280   323 0.91 tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)] [Beauveria bassiana]
KAH8715866.1         -            426 10453at5125          -            583     0.001   17.1   0.0   1   1   5.8e-07    0.0016   16.4   0.0   186   347    28   202    21   265 0.70 tRNA-dihydrouridine(20) synthase [NAD(P)+] [Beauveria bassiana]
KAH8720683.1         -            186 10453at5125          -            583     0.031   12.2   0.1   1   1   1.9e-05     0.053   11.4   0.1   268   313   101   146    29   154 0.69 tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/10453at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_JEF-350/run_hypocreales_odb10/hmmer_output/initial_run_results/10453at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/10453at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_JEF-350_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:23:54 2024
# [ok]
