#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TQW07684.1           -           1570 1287at5125           -            903         0 1487.3  29.7   1   5      0.18     5e+02   -2.4   0.2     7    24    68    85    65    90 0.79 hypothetical protein IF2G_04845 [Cordyceps javanica]
TQW07684.1           -           1570 1287at5125           -            903         0 1487.3  29.7   2   5   4.2e-09   1.2e-05   22.8   4.8    24    58   229   263   208   318 0.77 hypothetical protein IF2G_04845 [Cordyceps javanica]
TQW07684.1           -           1570 1287at5125           -            903         0 1487.3  29.7   3   5     1e-05     0.028   11.6   0.9    42    83   330   374   285   391 0.63 hypothetical protein IF2G_04845 [Cordyceps javanica]
TQW07684.1           -           1570 1287at5125           -            903         0 1487.3  29.7   4   5         0         0 1363.0   2.4    94   804   541  1327   512  1347 0.92 hypothetical protein IF2G_04845 [Cordyceps javanica]
TQW07684.1           -           1570 1287at5125           -            903         0 1487.3  29.7   5   5   9.6e-33   2.7e-29  101.0   0.1   827   902  1441  1534  1393  1535 0.74 hypothetical protein IF2G_04845 [Cordyceps javanica]
TQW06970.1           -            731 1287at5125           -            903  4.4e-144  480.9   0.0   1   3    0.0028       7.8    3.5   0.0   158   189    75   102    62   117 0.80 transcription factor btf3 [Cordyceps javanica]
TQW06970.1           -            731 1287at5125           -            903  4.4e-144  480.9   0.0   2   3  3.7e-141    1e-137  459.8   0.0   295   765   131   650   104   664 0.86 transcription factor btf3 [Cordyceps javanica]
TQW06970.1           -            731 1287at5125           -            903  4.4e-144  480.9   0.0   3   3   4.7e-05      0.13    9.4   0.0   831   886   668   723   651   729 0.89 transcription factor btf3 [Cordyceps javanica]
TQW10900.1           -           1191 1287at5125           -            903   6.3e-64  215.6   0.5   1   3   0.00021      0.58    7.3   0.0   149   187   565   601   561   613 0.85 WW domain-containing protein [Cordyceps javanica]
TQW10900.1           -           1191 1287at5125           -            903   6.3e-64  215.6   0.5   2   3   1.2e-43   3.3e-40  137.2   0.2   304   619   628   956   620   966 0.83 WW domain-containing protein [Cordyceps javanica]
TQW10900.1           -           1191 1287at5125           -            903   6.3e-64  215.6   0.5   3   3   9.8e-23   2.7e-19   67.9   0.0   596   759   967  1133   956  1178 0.78 WW domain-containing protein [Cordyceps javanica]
TQW04998.1           -            698 1287at5125           -            903      0.54    7.4   9.4   1   1   0.00027      0.74    6.9   9.4    11    96   492   583   483   624 0.66 catalytic protein [Cordyceps javanica]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/1287at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cjavanica_IJ2G.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Cjavanica_IJ2G/run_hypocreales_odb10/hmmer_output/initial_run_results/1287at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/1287at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cjavanica_IJ2G.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:05:55 2024
# [ok]
