#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TQW09704.1           -           1227 2794at5125           -            894         0 1507.1  17.5   1   5     1e-10   2.8e-07   28.4   0.2     1    32    10    41    10    50 0.88 C2 domain-containing protein [Cordyceps javanica]
TQW09704.1           -           1227 2794at5125           -            894         0 1507.1  17.5   2   5   4.3e-14   1.2e-10   39.5   0.6    35    77   131   173   105   182 0.79 C2 domain-containing protein [Cordyceps javanica]
TQW09704.1           -           1227 2794at5125           -            894         0 1507.1  17.5   3   5   7.1e-50     2e-46  157.9   0.0    86   190   268   383   257   393 0.89 C2 domain-containing protein [Cordyceps javanica]
TQW09704.1           -           1227 2794at5125           -            894         0 1507.1  17.5   4   5         0         0 1227.1   0.0   190   849   411  1122   400  1145 0.92 C2 domain-containing protein [Cordyceps javanica]
TQW09704.1           -           1227 2794at5125           -            894         0 1507.1  17.5   5   5   6.9e-21   1.9e-17   62.0   1.9   836   889  1151  1206  1125  1218 0.85 C2 domain-containing protein [Cordyceps javanica]
TQW10866.1           -           1217 2794at5125           -            894  1.5e-177  591.8   7.4   1   3    0.0011       3.1    5.1   1.8     8    79    14   100    11   127 0.59 C2 domain-containing protein [Cordyceps javanica]
TQW10866.1           -           1217 2794at5125           -            894  1.5e-177  591.8   7.4   2   3  2.4e-172  6.7e-169  563.2   0.0   117   860   243  1041   234  1053 0.81 C2 domain-containing protein [Cordyceps javanica]
TQW10866.1           -           1217 2794at5125           -            894  1.5e-177  591.8   7.4   3   3   9.6e-09   2.7e-05   21.8   0.2   830   891  1137  1199  1110  1202 0.76 C2 domain-containing protein [Cordyceps javanica]
TQW10659.1           -           1496 2794at5125           -            894     6e-31  106.7   0.0   1   4   2.9e-19     8e-16   56.7   0.0   100   439   210   541   191   571 0.79 hypothetical protein IF2G_01601 [Cordyceps javanica]
TQW10659.1           -           1496 2794at5125           -            894     6e-31  106.7   0.0   2   4   2.7e-08   7.4e-05   20.4   0.0   580   683   616   719   593   732 0.84 hypothetical protein IF2G_01601 [Cordyceps javanica]
TQW10659.1           -           1496 2794at5125           -            894     6e-31  106.7   0.0   3   4     3e-06    0.0084   13.6   0.0   362   479   749   869   727   901 0.74 hypothetical protein IF2G_01601 [Cordyceps javanica]
TQW10659.1           -           1496 2794at5125           -            894     6e-31  106.7   0.0   4   4   2.8e-05     0.077   10.4   0.0   361   439  1105  1178  1080  1204 0.74 hypothetical protein IF2G_01601 [Cordyceps javanica]
TQW10466.1           -           1371 2794at5125           -            894   0.00093   16.7   0.0   1   1   5.3e-07    0.0015   16.1   0.0   363   436   930   997   910  1003 0.83 C2 domain protein [Cordyceps javanica]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/2794at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cjavanica_IJ2G.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Cjavanica_IJ2G/run_hypocreales_odb10/hmmer_output/initial_run_results/2794at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/2794at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cjavanica_IJ2G.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:06:42 2024
# [ok]
