#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TQW11172.1           -           1315 3258at5125           -            987         0 1607.4  65.5   1   5   5.2e-31   1.5e-27   95.2   5.8     8   106    69   170    62   177 0.88 guanyl-nucleotide exchange factor [Cordyceps javanica]
TQW11172.1           -           1315 3258at5125           -            987         0 1607.4  65.5   2   5   2.7e-12   7.5e-09   33.2  15.9    69   165   155   287   148   312 0.61 guanyl-nucleotide exchange factor [Cordyceps javanica]
TQW11172.1           -           1315 3258at5125           -            987         0 1607.4  65.5   3   5         0         0 1265.0  13.0   160   802   311   949   296   959 0.96 guanyl-nucleotide exchange factor [Cordyceps javanica]
TQW11172.1           -           1315 3258at5125           -            987         0 1607.4  65.5   4   5     2e-06    0.0056   13.8   0.1   798   830  1038  1070  1026  1083 0.82 guanyl-nucleotide exchange factor [Cordyceps javanica]
TQW11172.1           -           1315 3258at5125           -            987         0 1607.4  65.5   5   5   1.6e-65   4.6e-62  209.4   9.8   826   981  1092  1273  1086  1277 0.90 guanyl-nucleotide exchange factor [Cordyceps javanica]
TQW02235.1           -           1828 3258at5125           -            987   1.4e-17   62.1   0.3   1   1   8.7e-21   2.4e-17   61.3   0.3   257   402   652   800   636   812 0.90 guanyl-nucleotide exchange factor (Sec7) [Cordyceps javanica]
TQW03983.1           -           1604 3258at5125           -            987   6.3e-16   56.7   0.0   1   4         4   1.1e+04  -12.7  15.2    95   194   146   243   121   255 0.43 Sec7 domain-containing protein [Cordyceps javanica]
TQW03983.1           -           1604 3258at5125           -            987   6.3e-16   56.7   0.0   2   4         4   1.1e+04  -15.9  16.4    33   184   413   562   382   578 0.53 Sec7 domain-containing protein [Cordyceps javanica]
TQW03983.1           -           1604 3258at5125           -            987   6.3e-16   56.7   0.0   3   4         4   1.1e+04  -10.7  12.8    45   168   666   793   646   835 0.67 Sec7 domain-containing protein [Cordyceps javanica]
TQW03983.1           -           1604 3258at5125           -            987   6.3e-16   56.7   0.0   4   4   2.3e-19   6.3e-16   56.7   0.0   261   383   851   974   821   978 0.91 Sec7 domain-containing protein [Cordyceps javanica]
TQW04929.1           -           1615 3258at5125           -            987   4.9e-11   40.5   0.0   1   1     3e-14   8.3e-11   39.7   0.0   269   385   688   805   660   839 0.84 Sec7 domain protein [Cordyceps javanica]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/3258at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cjavanica_IJ2G.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Cjavanica_IJ2G/run_hypocreales_odb10/hmmer_output/initial_run_results/3258at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/3258at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cjavanica_IJ2G.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:06:48 2024
# [ok]
