#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TQW11710.1           -           2004 4465at5125           -           1024         0 1131.0 257.1   1   8         1   1.1e+04  -11.4   8.0    78   177    37    54    28    77 0.42 Myb-like DNA-binding protein [Cordyceps javanica]
TQW11710.1           -           2004 4465at5125           -           1024         0 1131.0 257.1   2   8   1.2e-86   1.3e-82  277.9 117.8     1   285    86   454    86   485 0.80 Myb-like DNA-binding protein [Cordyceps javanica]
TQW11710.1           -           2004 4465at5125           -           1024         0 1131.0 257.1   3   8   5.2e-36   5.8e-32  110.2   0.3   282   362   496   580   468   592 0.87 Myb-like DNA-binding protein [Cordyceps javanica]
TQW11710.1           -           2004 4465at5125           -           1024         0 1131.0 257.1   4   8  1.1e-176  1.2e-172  576.0  17.6   361   706   829  1232   823  1247 0.87 Myb-like DNA-binding protein [Cordyceps javanica]
TQW11710.1           -           2004 4465at5125           -           1024         0 1131.0 257.1   5   8   1.4e-63   1.6e-59  201.5   3.1   708   842  1274  1427  1261  1440 0.85 Myb-like DNA-binding protein [Cordyceps javanica]
TQW11710.1           -           2004 4465at5125           -           1024         0 1131.0 257.1   6   8      0.27     3e+03   -4.7   0.7    49    65  1537  1553  1508  1571 0.50 Myb-like DNA-binding protein [Cordyceps javanica]
TQW11710.1           -           2004 4465at5125           -           1024         0 1131.0 257.1   7   8   3.8e-08   0.00043   18.0  40.0   882  1015  1665  1833  1652  1883 0.73 Myb-like DNA-binding protein [Cordyceps javanica]
TQW11710.1           -           2004 4465at5125           -           1024         0 1131.0 257.1   8   8         1   1.1e+04  -14.0  20.2   957  1024  1922  1994  1871  1994 0.51 Myb-like DNA-binding protein [Cordyceps javanica]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/4465at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cjavanica_IJ2G.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Cjavanica_IJ2G/run_hypocreales_odb10/hmmer_output/initial_run_results/4465at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/4465at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Cjavanica_IJ2G.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:06:53 2024
# [ok]
