#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QLI64032.1           -            998 5174at5125           -            697         0 1194.9   0.5   1   4     7e-25     4e-21   74.5   0.0     1    73     6    86     6    98 0.89 hypothetical protein G6M90_00g007910 [Metarhizium brunneum]
QLI64032.1           -            998 5174at5125           -            697         0 1194.9   0.5   2   4   0.00024       1.4    6.6   0.0    83   126   157   204   149   228 0.77 hypothetical protein G6M90_00g007910 [Metarhizium brunneum]
QLI64032.1           -            998 5174at5125           -            697         0 1194.9   0.5   3   4   1.2e-86     7e-83  278.6   0.3   129   311   334   556   318   563 0.85 hypothetical protein G6M90_00g007910 [Metarhizium brunneum]
QLI64032.1           -            998 5174at5125           -            697         0 1194.9   0.5   4   4  9.4e-253  5.4e-249  827.6   0.0   294   697   567   993   558   993 0.96 hypothetical protein G6M90_00g007910 [Metarhizium brunneum]
QLI71069.1           -            984 5174at5125           -            697   1.5e-41  142.0   0.3   1   4     0.012        67    1.0   0.0    14    68    76   136    67   179 0.73 hypothetical protein G6M90_00g070420 [Metarhizium brunneum]
QLI71069.1           -            984 5174at5125           -            697   1.5e-41  142.0   0.3   2   4   1.1e-05      0.06   11.1   0.0   146   182   202   240   185   360 0.82 hypothetical protein G6M90_00g070420 [Metarhizium brunneum]
QLI71069.1           -            984 5174at5125           -            697   1.5e-41  142.0   0.3   3   4   7.8e-35   4.5e-31  107.4   0.0   299   585   448   785   435   793 0.68 hypothetical protein G6M90_00g070420 [Metarhizium brunneum]
QLI71069.1           -            984 5174at5125           -            697   1.5e-41  142.0   0.3   4   4   7.7e-07    0.0044   14.8   0.0   622   672   921   969   881   979 0.83 hypothetical protein G6M90_00g070420 [Metarhizium brunneum]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/5174at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Mbrunneum4556_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Mbrunneum_ARSEF4556/run_hypocreales_odb10/hmmer_output/initial_run_results/5174at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/5174at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Mbrunneum4556_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:35:39 2024
# [ok]
