#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QLI66195.1           -           1199 7865at5125           -            676  1.8e-281  934.8 104.9   1   8   5.7e-25   1.6e-21   75.6   1.1    11    86    35   116     5   135 0.82 hypothetical protein G6M90_00g013530 [Metarhizium brunneum]
QLI66195.1           -           1199 7865at5125           -            676  1.8e-281  934.8 104.9   2   8   0.00071         2    5.9   1.6    55    95   141   189   130   201 0.75 hypothetical protein G6M90_00g013530 [Metarhizium brunneum]
QLI66195.1           -           1199 7865at5125           -            676  1.8e-281  934.8 104.9   3   8   2.8e-38   8.1e-35  119.6   0.6    81   195   225   347   196   385 0.81 hypothetical protein G6M90_00g013530 [Metarhizium brunneum]
QLI66195.1           -           1199 7865at5125           -            676  1.8e-281  934.8 104.9   4   8   1.1e-06    0.0031   15.2  16.8   170   293   392   518   372   539 0.57 hypothetical protein G6M90_00g013530 [Metarhizium brunneum]
QLI66195.1           -           1199 7865at5125           -            676  1.8e-281  934.8 104.9   5   8      0.57   1.6e+03   -3.7   5.5   168   245   518   596   496   609 0.70 hypothetical protein G6M90_00g013530 [Metarhizium brunneum]
QLI66195.1           -           1199 7865at5125           -            676  1.8e-281  934.8 104.9   6   8  5.7e-189  1.6e-185  617.6  37.5   208   570   599  1031   585  1037 0.86 hypothetical protein G6M90_00g013530 [Metarhizium brunneum]
QLI66195.1           -           1199 7865at5125           -            676  1.8e-281  934.8 104.9   7   8   1.4e-33   3.9e-30  104.1   2.3   565   663  1046  1149  1042  1159 0.90 hypothetical protein G6M90_00g013530 [Metarhizium brunneum]
QLI66195.1           -           1199 7865at5125           -            676  1.8e-281  934.8 104.9   8   8   4.2e-07    0.0012   16.6   0.2   656   676  1179  1199  1170  1199 0.93 hypothetical protein G6M90_00g013530 [Metarhizium brunneum]
QLI64496.1           -            435 7865at5125           -            676    0.0017   16.1  10.1   1   1   8.4e-07    0.0024   15.6   9.3   267   360    63   163    14   172 0.72 Death-inducer obliterator 1 [Metarhizium brunneum]
QLI64054.1           -           1260 7865at5125           -            676     0.061   11.0   1.4   1   1   3.5e-05       0.1   10.2   1.4   145   216   113   183    96   198 0.85 Serine/threonine-protein kinase [Metarhizium brunneum]
QLI69124.1           -           1741 7865at5125           -            676       7.2    4.1  13.0   1   2   7.2e-05       0.2    9.2   3.7   265   360   413   504   347   506 0.61 Lysine-specific demethylase 5D [Metarhizium brunneum]
QLI69124.1           -           1741 7865at5125           -            676       7.2    4.1  13.0   2   2     0.066   1.9e+02   -0.6   1.9   322   356  1335  1370  1310  1380 0.67 Lysine-specific demethylase 5D [Metarhizium brunneum]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/7865at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Mbrunneum4556_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Mbrunneum_ARSEF4556/run_hypocreales_odb10/hmmer_output/initial_run_results/7865at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/7865at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Mbrunneum4556_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:36:07 2024
# [ok]
