#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QLI65748.1           -            787 10898at5125          -            600         0 1113.4  11.9   1   3     0.021        48    1.4   0.0    16    28    92   104    79   108 0.84 hypothetical protein G6M90_00g010830 [Metarhizium brunneum]
QLI65748.1           -            787 10898at5125          -            600         0 1113.4  11.9   2   3  1.3e-206    3e-203  675.8   4.5    20   393   127   536   115   541 0.94 hypothetical protein G6M90_00g010830 [Metarhizium brunneum]
QLI65748.1           -            787 10898at5125          -            600         0 1113.4  11.9   3   3  5.4e-135  1.2e-131  439.3   0.1   381   600   548   779   546   779 0.97 hypothetical protein G6M90_00g010830 [Metarhizium brunneum]
QLI65033.1           -            676 10898at5125          -            600     1e-25   89.5  10.8   1   1   1.6e-27   3.6e-24   84.3  10.8    54   401    41   394    35   485 0.81 hypothetical protein G6M90_00g026140 [Metarhizium brunneum]
QLI63864.1           -            801 10898at5125          -            600   2.1e-25   88.4  18.1   1   1   1.9e-27   4.2e-24   84.1  18.1    52   391    65   424    52   526 0.77 Sulfate permease 2 [Metarhizium brunneum]
QLI63432.1           -            786 10898at5125          -            600   1.1e-24   86.0  14.4   1   2   4.9e-28   1.1e-24   86.0  14.4    54   393    58   416    45   426 0.82 Sulfate permease 2 [Metarhizium brunneum]
QLI63432.1           -            786 10898at5125          -            600   1.1e-24   86.0  14.4   2   2      0.53   1.2e+03   -3.3   0.0   522   553   622   653   614   656 0.84 Sulfate permease 2 [Metarhizium brunneum]
QLI73060.1           -            829 10898at5125          -            600   1.5e-23   82.3  15.0   1   1   1.8e-26   4.2e-23   80.8  15.1    59   395    74   431    68   520 0.84 Sulfate permease 2 [Metarhizium brunneum]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/10898at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Mbrunneum4556_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Mbrunneum_ARSEF4556/run_hypocreales_odb10/hmmer_output/initial_run_results/10898at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/10898at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Mbrunneum4556_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:34:23 2024
# [ok]
