#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ATY59272.1           -           1186 2163at5125           -            796         0 1196.2  35.4   1   6   2.7e-45   5.1e-42  142.8  11.3     1   120    78   221    78   234 0.89 Malate aliminium toerance [Cordyceps militaris]
ATY59272.1           -           1186 2163at5125           -            796         0 1196.2  35.4   2   6   1.4e-30   2.5e-27   94.2   0.0   122   202   276   359   262   367 0.92 Malate aliminium toerance [Cordyceps militaris]
ATY59272.1           -           1186 2163at5125           -            796         0 1196.2  35.4   3   6   7.1e-75   1.3e-71  240.7   0.1   195   369   395   570   394   584 0.95 Malate aliminium toerance [Cordyceps militaris]
ATY59272.1           -           1186 2163at5125           -            796         0 1196.2  35.4   4   6  2.8e-191  5.2e-188  625.7   7.3   378   722   638   989   617   996 0.96 Malate aliminium toerance [Cordyceps militaris]
ATY59272.1           -           1186 2163at5125           -            796         0 1196.2  35.4   5   6   3.2e-29     6e-26   89.7   0.0   714   770  1003  1059   998  1066 0.94 Malate aliminium toerance [Cordyceps militaris]
ATY59272.1           -           1186 2163at5125           -            796         0 1196.2  35.4   6   6   0.00034      0.63    6.9   0.0   770   794  1153  1178  1149  1180 0.79 Malate aliminium toerance [Cordyceps militaris]
ATY66996.1           -           1052 2163at5125           -            796   2.7e-21   74.3  16.4   1   3    0.0018       3.4    4.5   7.1     3    65   216   282   214   293 0.84 Brefeldin A-sensitivity 4 [Cordyceps militaris]
ATY66996.1           -           1052 2163at5125           -            796   2.7e-21   74.3  16.4   2   3    0.0089        17    2.2   0.0   525   568   302   342   290   389 0.75 Brefeldin A-sensitivity 4 [Cordyceps militaris]
ATY66996.1           -           1052 2163at5125           -            796   2.7e-21   74.3  16.4   3   3   5.2e-24   9.6e-21   72.5   0.4   393   761   661  1046   628  1050 0.79 Brefeldin A-sensitivity 4 [Cordyceps militaris]
ATY59734.1           -           1051 2163at5125           -            796   3.1e-09   34.4   8.8   1   2   0.00052      0.96    6.3   4.1   362   561    37   259    10   318 0.64 60S ribosomal L19 [Cordyceps militaris]
ATY59734.1           -           1051 2163at5125           -            796   3.1e-09   34.4   8.8   2   2   2.7e-11     5e-08   30.4   0.1   387   556   622   807   587   957 0.81 60S ribosomal L19 [Cordyceps militaris]
ATY65294.1           -           1003 2163at5125           -            796   1.4e-06   25.7   7.1   1   1   7.8e-10   1.5e-06   25.6   5.5   385   575   610   817   580   823 0.68 hypothetical protein A9K55_003772 [Cordyceps militaris]
ATY61314.1           -           1021 2163at5125           -            796   1.8e-06   25.2   2.0   1   2      0.72   1.3e+03   -4.1   0.0   215   257    92   135    85   167 0.53 (fungal and plant) [Cordyceps militaris]
ATY61314.1           -           1021 2163at5125           -            796   1.8e-06   25.2   2.0   2   2   1.1e-09   2.1e-06   25.1   0.9   371   563   608   817   589   824 0.72 (fungal and plant) [Cordyceps militaris]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/2163at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/CmilitarisATCC34164.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_CmilitarisATCC34164/run_hypocreales_odb10/hmmer_output/initial_run_results/2163at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/2163at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/CmilitarisATCC34164.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:10:23 2024
# [ok]
