#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ATY65008.1           -           2139 2248at5125           -           1217         0 1655.7  54.3   1   7   1.2e-34   2.8e-31  106.8   2.3    68   176     1   128     1   138 0.87 RING finger membrane [Cordyceps militaris]
ATY65008.1           -           2139 2248at5125           -           1217         0 1655.7  54.3   2   7   5.2e-39   1.2e-35  121.3   0.8   172   247   151   226   143   241 0.91 RING finger membrane [Cordyceps militaris]
ATY65008.1           -           2139 2248at5125           -           1217         0 1655.7  54.3   3   7   1.5e-15   3.6e-12   43.6   0.3   252   315   307   370   302   398 0.86 RING finger membrane [Cordyceps militaris]
ATY65008.1           -           2139 2248at5125           -           1217         0 1655.7  54.3   4   7   5.1e-07    0.0012   15.3   0.2   306   342   421   460   365   467 0.59 RING finger membrane [Cordyceps militaris]
ATY65008.1           -           2139 2248at5125           -           1217         0 1655.7  54.3   5   7   2.6e-07   0.00059   16.3   0.5   340   374   559   593   552   604 0.76 RING finger membrane [Cordyceps militaris]
ATY65008.1           -           2139 2248at5125           -           1217         0 1655.7  54.3   6   7   4.6e-93   1.1e-89  300.4   6.0   356   541   608   793   595   803 0.93 RING finger membrane [Cordyceps militaris]
ATY65008.1           -           2139 2248at5125           -           1217         0 1655.7  54.3   7   7         0         0 1075.2   7.8   529  1185   815  1533   808  1537 0.89 RING finger membrane [Cordyceps militaris]
ATY64006.1           -            284 2248at5125           -           1217   1.1e-05   22.1   0.8   1   1   6.6e-09   1.5e-05   21.6   0.8    20    63    76   124    66   142 0.78 RING finger domain [Cordyceps militaris]
ATY59684.1           -             96 2248at5125           -           1217     0.039   10.3   5.2   1   1   1.9e-05     0.044   10.1   5.2     6    60    22    83    19    92 0.77 anaphase promoting complex subunit [Cordyceps militaris]
ATY59581.1           -            174 2248at5125           -           1217     0.057    9.8   0.5   1   1   2.7e-05     0.062    9.6   0.5   297   345    25    74    13   113 0.73 hypothetical protein A9K55_002286 [Cordyceps militaris]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/2248at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/CmilitarisATCC34164.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_CmilitarisATCC34164/run_hypocreales_odb10/hmmer_output/initial_run_results/2248at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/2248at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/CmilitarisATCC34164.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:10:17 2024
# [ok]
