#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ATY59376.1           -            987 26318at5125          -            570  4.3e-228  757.9 110.5   1   5   1.4e-08   6.3e-05   21.1   3.6     5    39    34    68    30    94 0.81 RING finger domain-containing [Cordyceps militaris]
ATY59376.1           -            987 26318at5125          -            570  4.3e-228  757.9 110.5   2   5   6.8e-10   3.2e-06   25.4   8.7    29    75   112   163    82   166 0.81 RING finger domain-containing [Cordyceps militaris]
ATY59376.1           -            987 26318at5125          -            570  4.3e-228  757.9 110.5   3   5   6.6e-95   3.1e-91  306.0  16.6    39   248   284   516   257   528 0.80 RING finger domain-containing [Cordyceps militaris]
ATY59376.1           -            987 26318at5125          -            570  4.3e-228  757.9 110.5   4   5     6e-69   2.8e-65  220.3  53.9   222   489   525   809   518   836 0.81 RING finger domain-containing [Cordyceps militaris]
ATY59376.1           -            987 26318at5125          -            570  4.3e-228  757.9 110.5   5   5   7.8e-63   3.6e-59  200.1   0.4   447   569   859   986   821   987 0.84 RING finger domain-containing [Cordyceps militaris]
ATY62004.1           -           1065 26318at5125          -            570   0.00092   17.2   0.0   1   3      0.36   1.7e+03   -3.4   0.5   432   474   182   227   135   237 0.57 Actin cytoskeleton-regulatory complex [Cordyceps militaris]
ATY62004.1           -           1065 26318at5125          -            570   0.00092   17.2   0.0   2   3     2e-07   0.00092   17.2   0.0    84   133   370   420   368   431 0.86 Actin cytoskeleton-regulatory complex [Cordyceps militaris]
ATY62004.1           -           1065 26318at5125          -            570   0.00092   17.2   0.0   3   3      0.32   1.5e+03   -3.3   2.8   397   502   450   492   434   506 0.42 Actin cytoskeleton-regulatory complex [Cordyceps militaris]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/26318at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/CmilitarisATCC34164.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_CmilitarisATCC34164/run_hypocreales_odb10/hmmer_output/initial_run_results/26318at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/26318at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/CmilitarisATCC34164.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 15:11:10 2024
# [ok]
