#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAF1736787.1         -           1170 3419at5125           -            908         0 1590.1  53.8   1   4   7.8e-07    0.0013   15.8   1.1    15    40    28    53    18    59 0.81 Calcium channel YVC1 [Beauveria bassiana]
KAF1736787.1         -           1170 3419at5125           -            908         0 1590.1  53.8   2   4         0         0 1439.7  23.1    37   732    83   847    62   855 0.91 Calcium channel YVC1 [Beauveria bassiana]
KAF1736787.1         -           1170 3419at5125           -            908         0 1590.1  53.8   3   4   7.5e-07    0.0013   15.9   0.2   732   771   886   926   874   945 0.71 Calcium channel YVC1 [Beauveria bassiana]
KAF1736787.1         -           1170 3419at5125           -            908         0 1590.1  53.8   4   4   9.5e-40   1.6e-36  124.8  10.3   762   889   955  1105   933  1153 0.76 Calcium channel YVC1 [Beauveria bassiana]
KAF1731436.1         -            762 3419at5125           -            908   8.7e-55  185.2  14.7   1   1   8.9e-58   1.5e-54  184.4  14.7    51   556    46   559    24   568 0.84 Calcium channel YVC1 [Beauveria bassiana]
KAF1729702.1         -            488 3419at5125           -            908   9.8e-41  138.7  26.3   1   1   8.1e-43   1.4e-39  134.9  26.3   167   556     5   384     1   390 0.89 Calcium channel YVC1 [Beauveria bassiana]
KAF1733290.1         -            607 3419at5125           -            908     9e-17   59.5  24.6   1   2     0.003       5.1    4.0   0.0   104   148    82   126    11   155 0.84 Calcium channel YVC1 [Beauveria bassiana]
KAF1733290.1         -            607 3419at5125           -            908     9e-17   59.5  24.6   2   2   2.5e-18   4.3e-15   53.9  24.1   257   552   215   523   205   530 0.83 Calcium channel YVC1 [Beauveria bassiana]
KAF1736511.1         -            859 3419at5125           -            908     0.022   11.8   0.1   1   2      0.19   3.3e+02   -2.0   2.2   688   728   471   512   450   520 0.67 Zinc finger protein [Beauveria bassiana]
KAF1736511.1         -            859 3419at5125           -            908     0.022   11.8   0.1   2   2   1.3e-05     0.022   11.8   0.1   654   734   537   618   530   636 0.83 Zinc finger protein [Beauveria bassiana]
KAF1737250.1         -            454 3419at5125           -            908      0.37    7.8   2.1   1   1   0.00029       0.5    7.3   2.1   674   739   134   202    98   217 0.74 Protein RMD5 A [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/3419at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_ERL836_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_ERL836/run_hypocreales_odb10/hmmer_output/initial_run_results/3419at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/3419at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_ERL836_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:20:56 2024
# [ok]
