#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAF1732163.1         -           1194 4397at5125           -            954         0 1322.2  32.4   1   4         0         0 1316.2  23.6     9   901    31  1036    26  1046 0.90 hypothetical protein CRV24_008356 [Beauveria bassiana]
KAF1732163.1         -           1194 4397at5125           -            954         0 1322.2  32.4   2   4      0.02        42    0.8   0.1   887   908  1044  1065  1034  1094 0.71 hypothetical protein CRV24_008356 [Beauveria bassiana]
KAF1732163.1         -           1194 4397at5125           -            954         0 1322.2  32.4   3   4     0.077   1.6e+02   -1.1   0.2   889   928  1077  1116  1067  1130 0.75 hypothetical protein CRV24_008356 [Beauveria bassiana]
KAF1732163.1         -           1194 4397at5125           -            954         0 1322.2  32.4   4   4    0.0011       2.2    5.0   0.0   930   954  1159  1184  1148  1184 0.85 hypothetical protein CRV24_008356 [Beauveria bassiana]
KAF1737741.1         -            979 4397at5125           -            954     0.038   10.8   2.0   1   2    0.0057        12    2.6   0.1   517   550   603   637   560   663 0.73 F-box/LRR-repeat protein 7 [Beauveria bassiana]
KAF1737741.1         -            979 4397at5125           -            954     0.038   10.8   2.0   2   2   0.00017      0.36    7.6   0.2   553   639   758   844   725   855 0.71 F-box/LRR-repeat protein 7 [Beauveria bassiana]
KAF1735734.1         -            119 4397at5125           -            954     0.095    9.5   0.0   1   1   5.6e-05      0.12    9.2   0.0   715   797    34   116    25   118 0.88 hypothetical protein CRV24_004660 [Beauveria bassiana]
KAF1739187.1         -            248 4397at5125           -            954      0.11    9.3   2.6   1   1   7.2e-05      0.15    8.9   2.6    15    90    62   140    59   153 0.76 hypothetical protein CRV24_001119 [Beauveria bassiana]
KAF1739207.1         -            453 4397at5125           -            954       1.3    5.7   4.1   1   1   0.00083       1.7    5.4   4.1     3    76   254   333   252   346 0.79 hypothetical protein CRV24_001139 [Beauveria bassiana]
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/zack/funannotate_db/hypocreales_odb10/hmms/4397at5125.hmm
# Target file:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_ERL836_protein.faa
# Option settings: hmmsearch --domtblout /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all/BUSCO_AA_Bbassiana_ERL836/run_hypocreales_odb10/hmmer_output/initial_run_results/4397at5125.out --cpu 1 /home/zack/funannotate_db/hypocreales_odb10/hmms/4397at5125.hmm /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/Bbassiana_ERL836_protein.faa 
# Current dir:     /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/BUSCO_AA_all
# Date:            Mon Mar  4 14:21:26 2024
# [ok]
